Title,Author,Publication_Date,Rating,Price
Data Engineering with AWS: Acquire the skills to design and build AWS-based data transformation pipelines like a pro,Gareth Eagar,"October 31, 2023",4.3,24.0
"Cracking the Data Engineering Interview: Land your dream job with the help of resume-building tips, over 100 mock questions, and a unique portfolio",Kedeisha Bryan,"November 7, 2023",4.0,26.0
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,Paul Houghton,"June 30, 2022",4.3,31.0
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"Joe Reis, Matt Housley","July 26, 2022",4.7,43.0
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,"April 2, 2017",4.8,40.0
